sample,led440,led480,led540,led590,led625,source,medium,year,uncorrected F from phytoPAM,,,,
syleo,100,30,129,1000,673,Default,unknown,Default,0.1,0.03,0.129,1,0.673
chlorella,1000,705,191,513,292,Default,unknown,Default,1,0.705,0.191,0.513,0.292
phaeo,1000,611,428,326,183,Default,unknown,Default,1,0.611,0.428,0.326,0.183
crypto,507,378,481,1000,213,Default,unknown,Default,0.507,0.378,0.481,1,0.213
synechoccus,188,62,369,1000,963,non-Default,unknown,non-Default,0.188,0.062,0.369,1,0.963
synnechoccus_leopoliensis,91,33,149,1000,844,non-Default,unknown,non-Default,0.091,0.033,0.149,1,0.844
cyano-8me2,36,30,564,1000,28,non-Default,hm,non-Default,0.036,0.03,0.564,1,0.028
pcc7376_old,11,12,1000,975,12,non-Default,asnIII,non-Default,0.011,0.012,1,0.975,0.012
pcc7938_old,250,106,169,1000,667,non-Default,bg11o,non-Default,0.25,0.106,0.169,1,0.667
pcc9806_old,250,158,211,1000,631,non-Default,bg11o,non-Default,0.25,0.158,0.211,1,0.631
pcc7806_old,202,152,213,1000,607,non-Default,bg11o,non-Default,0.202,0.152,0.213,1,0.607
pcc9807_old,203,150,218,1000,605,non-Default,bg11o,non-Default,0.203,0.15,0.218,1,0.605
planktothrix,133,165,820,1000,423,non-Default,asnIII,non-Default,0.133,0.165,0.82,1,0.423
niva_cya34a,143,105,214,1000,582,non-Default,lake_water,non-Default,0.143,0.105,0.214,1,0.582
niva_cya34b,167,122,223,1000,593,non-Default,lake_water,non-Default,0.167,0.122,0.223,1,0.593
pcc9806_lw,177,122,201,1000,619,non-Default,lake_water,non-Default,0.177,0.122,0.201,1,0.619
niva_cya540,692,524,772,1000,483,non-Default,lake_water,non-Default,0.692,0.524,0.772,1,0.483
pcc7938_lw,245,170,225,1000,649,non-Default,lake_water,non-Default,0.245,0.17,0.225,1,0.649
niva_cya34_april,130,99,215,1000,575,non-Default,z8,non-Default,0.13,0.099,0.215,1,0.575
niva_cya34b_z8,238,222,282,1000,609,non-Default,z8,non-Default,0.238,0.222,0.282,1,0.609
niva_cya540_z8,295,259,925,1000,398,non-Default,z8,non-Default,0.295,0.259,0.925,1,0.398
pcc9806_bg11,242,216,263,1000,624,non-Default,bg11o,non-Default,0.242,0.216,0.263,1,0.624
pcc7938_august,406,180,222,1000,655,non-Default,bg11o,non-Default,0.406,0.18,0.222,1,0.655
pcc7376_asn,229,276,1000,891,256,non-Default,asnIII,non-Default,0.229,0.276,1,0.891,0.256
12-21420001-2019,205.6666667,80.66666667,214.6666667,1262,750.6666667,samples,,2019,,,,,
12-21350001-2019,153,66.33333333,221,1025.333333,609.3333333,samples,,2019,,,,,
12-21170002-2019,259.4285714,121,206,991.7142857,640.1428571,samples,,2019,,,,,
1-21940001-2018,1242,723.3333333,618.3333333,933.6666667,972,samples,,2018,,,,,
1-21130002-2018,479.6666667,307,884,1542.333333,757.3333333,samples,,2018,,,,,
1-21130001-2018,580.3333333,357.3333333,862.3333333,1454.333333,740,samples,,2018,,,,,
1-21810001-2018,1254,778.3333333,577.3333333,666.6666667,343,samples,,2018,,,,,
1-21500001-2018,1504.333333,838.3333333,390,706.6666667,432.6666667,samples,,2018,,,,,
1-21420001-2018,1169,636.6666667,519,883,348.3333333,samples,,2018,,,,,
1-21350001-2018,1298.333333,813.3333333,591.6666667,775.6666667,372.6666667,samples,,2018,,,,,
1-21170001-2018,1365,835,566,846.6666667,506.6666667,samples,,2018,,,,,
1-21170002-2018,1259.666667,769,645.6666667,887.3333333,466.3333333,samples,,2018,,,,,
2-21940001-2018,835.3333333,426.6666667,412.3333333,1247,693,samples,,2018,,,,,
2-21130002-2018,974.3333333,658.3333333,958,1810.666667,979,samples,,2018,,,,,
2-21130001-2018,628.6666667,422,664.6666667,1251,679.6666667,samples,,2018,,,,,
2-21810002-2018,1408,712,456.6666667,669.6666667,356.6666667,samples,,2018,,,,,
2-21810001-2018,1301.666667,861.6666667,771,1138,669,samples,,2018,,,,,
2-21500001-2018,1069.666667,637,400.3333333,788.6666667,494.3333333,samples,,2018,,,,,
2-21420001-2018,1127.333333,561,361.6666667,549,277.6666667,samples,,2018,,,,,
2-21350001-2018,1110.666667,712.3333333,519.3333333,514,291.6666667,samples,,2018,,,,,
2-21170001-2018,1138.333333,672.3333333,495.3333333,1111.333333,698.3333333,samples,,2018,,,,,
2-21170002-2018,981.6666667,522.3333333,395.6666667,730.3333333,379.6666667,samples,,2018,,,,,
3-21940001-2018,1197.333333,791.6666667,687.3333333,902,529,samples,,2018,,,,,
3-21130002-2018,529,348.6666667,590.3333333,1256,668.3333333,samples,,2018,,,,,
3-21130001-2018,626.6666667,425.3333333,765,1571.666667,837.3333333,samples,,2018,,,,,
3-21810002-2018,1213,622.6666667,514.3333333,630,316.3333333,samples,,2018,,,,,
3-21810001-2018,1070.333333,606.6666667,471.6666667,929,509.3333333,samples,,2018,,,,,
3-21500001-2018,1054.666667,656.3333333,436.6666667,678.6666667,400,samples,,2018,,,,,
3-21420001-2018,1252.333333,693.3333333,518.3333333,795.3333333,405.6666667,samples,,2018,,,,,
3-21350001-2018,1228,838,441.3333333,568.3333333,316.6666667,samples,,2018,,,,,
3-21170001-2018,1017,576.3333333,431,1197.666667,775,samples,,2018,,,,,
3-21170002-2018,1198,657.3333333,477,1139,674.6666667,samples,,2018,,,,,
4-21940001-2018,1268.666667,697,591,1159.333333,557.3333333,samples,,2018,,,,,
4-21130002-2018,582.3333333,377.3333333,641.6666667,1380.333333,742.3333333,samples,,2018,,,,,
4-21130001-2018,588.6666667,377.6666667,604.6666667,1258.333333,676,samples,,2018,,,,,
4-21810002-2018,833.3333333,419.6666667,360.3333333,1131.666667,682.3333333,samples,,2018,,,,,
4-21810001-2018,1212.333333,638.3333333,403,528,272.3333333,samples,,2018,,,,,
4-21500001-2018,1278.666667,860.6666667,483.3333333,907.6666667,611,samples,,2018,,,,,
4-21420001-2018,1414.666667,834.6666667,680,1229,591.3333333,samples,,2018,,,,,
4-21170001-2018,787.3333333,441.3333333,444,1433.333333,923.6666667,samples,,2018,,,,,
4-21170002-2018,691,372,381.6666667,1209.333333,686.6666667,samples,,2018,,,,,
5-21940001-2018,1347.333333,825.6666667,606,3498.333333,366.3333333,samples,,2018,,,,,
5-21130002-2018,542.6666667,341.3333333,661.6666667,1468.333333,825.3333333,samples,,2018,,,,,
5-21130001-2018,567.3333333,353,624.6666667,1390.333333,784.3333333,samples,,2018,,,,,
5-21810002-2018,1087.25,575.25,392.75,781,518.5,samples,,2018,,,,,
5-21810001-2018,1147.5,674.5,514.8333333,1093.333333,615.6666667,samples,,2018,,,,,
5-21500001-2018,1051,655.3333333,501.6666667,1155.666667,788,samples,,2018,,,,,
5-21420001-2018,1014.666667,599.6666667,542.3333333,1396.333333,799.3333333,samples,,2018,,,,,
5-21350001-2018,1445.666667,903,688.3333333,1160.333333,472.6666667,samples,,2018,,,,,
5-21170001-2018,1006,561.6666667,426.6666667,1242,801,samples,,2018,,,,,
5-21170002-2018,412.3333333,193.3333333,285,1196.333333,717.3333333,samples,,2018,,,,,
6-21940001-2018,1376.666667,901.6666667,615,719.3333333,297.3333333,samples,,2018,,,,,
6-21130002-2018,425,269.3333333,523.6666667,1193,672.3333333,samples,,2018,,,,,
6-21130001-2018,490.3333333,311.6666667,584.6666667,1329,747.3333333,samples,,2018,,,,,
6-21810002-2018,1092.333333,616.3333333,432,908.3333333,555.3333333,samples,,2018,,,,,
6-21810001-2018,1196.333333,691.6666667,479.6666667,820.6666667,459.6666667,samples,,2018,,,,,
6-21420001-2018,554,303.3333333,296,1091.333333,683.6666667,samples,,2018,,,,,
6-21350001-2018,1293.666667,783,432.6666667,611.6666667,328,samples,,2018,,,,,
6-21170001-2018,605.6666667,333.6666667,356.6666667,1102,724.6666667,samples,,2018,,,,,
6-21170002-2018,604,329.3333333,413.3333333,1457.333333,854,samples,,2018,,,,,
7-21940001-2018,1309.666667,910.6666667,537.6666667,693.6666667,376.6666667,samples,,2018,,,,,
7-21130002-2018,577.3333333,363.3333333,660,1503,830,samples,,2018,,,,,
7-21130001-2018,445.3333333,276,606,1368,757,samples,,2018,,,,,
7-21810002-2018,1383.333333,805.6666667,535.3333333,979.6666667,523.6666667,samples,,2018,,,,,
7-21810001-2018,1522.333333,916.6666667,714,1147.333333,512.3333333,samples,,2018,,,,,
7-21500001-2018,1068.333333,667.6666667,544.6666667,1054,613,samples,,2018,,,,,
7-21420001-2018,497.6666667,243,286.6666667,1364.333333,894.6666667,samples,,2018,,,,,
7-21350001-2018,1513.666667,890,596.6666667,570,352.3333333,samples,,2018,,,,,
7-21170001-2018,783,413.6666667,448.6666667,1444.666667,946.3333333,samples,,2018,,,,,
7-21170002-2018,645.3333333,324.3333333,308,1068.666667,709.3333333,samples,,2018,,,,,
8-21940001-2018,1365.666667,1101.666667,449.6666667,893,468.6666667,samples,,2018,,,,,
8-21130002-2018,663,379.3333333,535.3333333,1575.333333,981,samples,,2018,,,,,
8-21130001-2018,433.3333333,254.3333333,439.6666667,1301.333333,789,samples,,2018,,,,,
8-21810002-2018,1319.666667,638,427.6666667,1505.666667,1000.666667,samples,,2018,,,,,
8-21810001-2018,1495.333333,479.3333333,479.3333333,1460.666667,933.6666667,samples,,2018,,,,,
8-21500001-2018,708.3333333,409.3333333,367.6666667,1381.333333,955.6666667,samples,,2018,,,,,
8-21420001-2018,1239,829.3333333,371.3333333,852.3333333,512.6666667,samples,,2018,,,,,
8-21350001-2018,1157.666667,663.3333333,401.3333333,446.6666667,286.3333333,samples,,2018,,,,,
8-21170001-2018,767,409,408.3333333,1408.333333,920,samples,,2018,,,,,
8-21170002-2018,864,441,363,1221.333333,823,samples,,2018,,,,,
9-21940001-2018,1136,710,474,959,492,samples,,2018,,,,,
9-21130002-2018,408,222.6666667,378.6666667,1348,866.6666667,samples,,2018,,,,,
9-21130001-2018,396.3333333,223.3333333,445.3333333,1481.333333,929.6666667,samples,,2018,,,,,
